Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,model_name,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,expid
23.91451,15.38692,15.52158,0.9118819375,0.9464888671875,0.94661728515625,dbm,PF00595,200000,False,False,81,500,500,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp315
23.13772,15.72864,15.86484,0.91431325,0.94496298828125,0.94503701171875,dbm,PF00595,200000,False,False,81,500,500,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp261
10.78662,16.72150,16.80979,0.96323625,0.94668642578125,0.94644443359375,rbm1,PF00595,98000,True,False,81,500,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,exp282
11.50911,16.76622,16.93905,0.9598633125,0.94641484375,0.9457728515625,rbm1,PF00595,98000,True,False,81,500,None,0.1000,NONE,0.0010,0.0000,0.0000,exp444
10.46958,16.78890,17.02289,0.9646125,0.94629140625,0.94547158203125,rbm1,PF00595,94000,True,False,81,500,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp255
6.37014,16.80857,16.74218,0.9753651875,0.94112587890625,0.9418814453125,dbm,PF00595,32000,False,False,81,1000,1000,0.0100,NONE,0.0010,0.5000,0.9000,exp162
11.54397,16.85506,16.94917,0.959726625,0.94638515625,0.94616787109375,rbm1,PF00595,98000,True,False,81,500,None,0.0100,NONE,0.0010,0.5000,0.9000,exp147
10.64653,16.90992,17.07412,0.963707875,0.945654296875,0.945792578125,rbm1,PF00595,98000,True,False,81,500,None,0.1000,NONE,0.0010,0.5000,0.9000,exp120
24.08486,17.20825,17.10978,0.912763375,0.94004443359375,0.9401185546875,dbm,PF00595,6000,False,False,81,1000,1000,0.5000,NONE,0.0010,0.5000,0.9000,exp108
13.03174,17.28337,17.41494,0.952942625,0.9449234375,0.94442470703125,rbm1,PF00595,98000,True,False,81,500,None,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp309
657.70515,176.18942,176.32825,0.30664546875,0.3973975341796875,0.3968543212890625,dbm,PF00595,1000,True,False,81,1000,1000,0.5000,NONE,0.0100,0.5000,0.9000,exp21
26.30658,18.43987,18.63316,0.9055183125,0.93512587890625,0.93458271484375,dbm,PF00595,183000,False,False,81,500,500,0.5000,NONE,0.0010,0.0000,0.0000,exp423
21.26642,19.07183,19.13397,0.9193773125,0.9349728515625,0.93447900390625,dbm,PF00595,183000,True,False,81,500,500,0.0100,INVERSE_T,0.0010,0.5000,0.9000,exp309
18.35502,19.16244,18.89377,0.931538125,0.93570859375,0.9364494140625,dbm,PF00595,4000,True,False,81,1000,1000,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp264
23.44933,19.17845,19.18558,0.9122391875,0.93399013671875,0.93400498046875,dbm,PF00595,200000,True,False,81,500,500,0.0100,NONE,0.0010,0.0000,0.0000,exp471
22.31429,20.29678,20.27931,0.9155619375,0.92997529296875,0.92976787109375,dbm,PF00595,2000,True,False,81,500,500,0.5000,INVERSE_T,0.0010,0.5000,0.9000,exp255
