expid,model_name,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp77,rbm,-154.83304340538609,-172.73541240942131,-171.1277209903426,-94.8103,-116.131,-114.308,0.387696,0.446664,0.440739
exp96,rbm,-187.79105777347206,-224.64497392919344,-225.64179598133148,-76.3659,-129.11,-129.741,0.287922,0.405333,0.407489
exp420,dbm,,,,-90.2244,-116.307,-116.812,0.322938,0.399312,0.401287
exp297,rbm,,,,-26.969,-111.889,-112.413,0.0665956,0.391354,0.392644
exp27,rbm,,,,-103.676,-120.377,-120.704,0.390493,0.446912,0.446586
exp218,rbm,,,,-85.6371,-103.956,-102.361,0.352678,0.431007,0.424558
exp192,dbm,-124.39618537100256,-129.2330584244109,-129.72551623112497,-117.81,-125.156,-125.674,0.433877,0.45945,0.461383
exp234,rbm,-113.70551868118184,-126.29423428036409,-126.65957265099348,-89.4207,-111.624,-111.987,0.320822,0.409702,0.410209
exp57,rbm,-127.18109053501507,-133.08432549384915,-133.41861414515446,-112.28,-121.685,-122.08,0.41165,0.448828,0.451255
exp15,dbm,,,,-134.113,-136.425,-137.113,0.509339,0.517507,0.520334
exp104,dbm,-175.47325456814826,-261.18550924621468,-257.99685160371712,-41.4413,-113.912,-111.645,0.168262,0.364322,0.355849
exp51,dbm,-310.1545288516179,-315.59349115622194,-316.58523443317631,-130.914,-133.752,-134.405,0.495418,0.505852,0.508112
exp182,rbm,-86.453056068045271,-111.28888652436501,-109.92371033775635,-57.8913,-96.7828,-95.1322,0.24253,0.397759,0.390035
exp78,rbm,,,,-130.088,-140.178,-140.328,0.450771,0.47613,0.477263
