expid,model_name,Train_CE,Valid_CE,Test_CE,Train_Acc,Valid_Acc,Test_Acc,dataset,best_step,sparsity,dropout,input_width,hidden1_width,hidden2_width,epsilon,epsilon_decay,l2_decay,initial_momentum,final_momentum,train-ll,valid-ll,test-ll,train-pll,valid-pll,test-pll,train-imperr,valid-imperr,test-imperr
exp95,rbm,50.82495,48.74626,48.43128,0.765023359375,0.8068261108398438,0.8076956787109375,PF00240,92000,False,True,69,500,None,0.5000,NONE,0.0010,0.5000,0.9000,-112.44809492895814,-177.88687251785882,-176.475874956469,-34.3897,-116.08,-114.309,0.163167,0.381967,0.376298
exp372,dbm,92.58951,73.90619,74.03274,0.6622794375,0.760345703125,0.759214794921875,PF00595,1000,True,False,81,1000,1000,0.1000,NONE,0.0100,0.0000,0.0000,,,,-110.603,-128.378,-128.865,0.386956,0.438389,0.439646
exp290,rbm,4.21936,19.17240,18.86717,0.98614515625,0.9238261108398438,0.925202880859375,PF00240,9000,True,False,69,1000,None,0.1000,INVERSE_T,0.0010,0.5000,0.9000,-62.872753272331465,-125.39379611311824,-123.640184659304,-11.1953,-101.959,-100.049,0.0185058,0.37872,0.371152
exp345,rbm,72.52933,60.96405,60.91764,0.7481589375,0.814167919921875,0.81514072265625,PF00595,60000,True,False,81,1000,None,0.5000,NONE,0.0100,0.0000,0.0000,-124.3028752999403,-135.90072157503909,-136.25203939097929,-99.6563,-118.133,-118.472,0.361436,0.423303,0.423728
exp209,dbm,64.81719,61.40684,60.54655,0.722636328125,0.7624058227539062,0.7647825927734375,PF00240,1000,True,False,69,1000,1000,0.1000,INVERSE_T,0.0100,0.5000,0.9000,,,,-74.7876,-107.088,-105.195,0.307806,0.408761,0.399638
exp299,dbm,59.76585,62.17170,61.63736,0.733499765625,0.7433478393554688,0.7457681274414063,PF00240,93000,True,False,69,100,100,0.0100,INVERSE_T,0.0010,0.5000,0.9000,-96.880801741421294,-127.71147426084565,-125.53000915558596,-65.4003,-118.987,-116.795,0.281007,0.411048,0.402528
exp170,dbm,91.33900,81.69535,80.70317,0.615941015625,0.6740289916992187,0.6778261108398438,PF00240,143000,False,False,69,100,100,0.5000,INVERSE_T,0.0100,0.5000,0.9000,,,,-92.3837,-107.195,-105.943,0.386885,0.440831,0.435228
exp269,rbm,3.66891,16.36329,15.94283,0.987021171875,0.9357391357421875,0.9378115844726562,PF00240,90000,False,False,69,1000,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,-62.881610249226696,-125.02796513514261,-123.2948190336939,-11.442,-105.728,-103.9,0.0221404,0.388462,0.381161
exp255,dbm,22.31429,20.29678,20.27931,0.9155619375,0.92997529296875,0.92976787109375,PF00595,2000,True,False,81,500,500,0.5000,INVERSE_T,0.0010,0.5000,0.9000,,,,-65.5852,-315.056,-318.765,0.127082,0.419035,0.422832
exp290,dbm,3.47616,38.51672,38.14725,0.986820390625,0.8652174072265625,0.8653478393554688,PF00240,1000,True,False,69,1000,1000,0.1000,INVERSE_T,0.0010,0.5000,0.9000,-92.937876434198643,-202.24681333329852,-198.85948814501228,-7.41502,-243.2,-240.269,0.0210672,0.403226,0.398504
exp143,dbm,51.76545,68.58159,67.55325,0.7621153125,0.7196376953125,0.723840576171875,PF00240,1000,False,False,69,100,100,0.0100,NONE,0.0010,0.5000,0.9000,,,,-57.8974,-121.234,-118.433,0.262163,0.424241,0.415522
exp194,rbm,116.42452,113.37282,112.95077,0.49432109375,0.5236521606445312,0.5285941772460937,PF00240,76000,False,True,69,100,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-174.91628752443626,-181.67136218135425,-180.60899783584452,-112.553,-120.205,-118.566,0.483496,0.508505,0.498737
exp179,dbm,86.80370,75.87452,74.77362,0.63622203125,0.6991448974609376,0.7039710083007813,PF00240,143000,False,False,69,500,500,0.5000,INVERSE_T,0.0100,0.5000,0.9000,-114.8392058940895,-126.3055954112819,-124.7238000503279,-89.2233,-107.35,-105.645,0.369723,0.431576,0.425517
exp215,rbm,37.93799,41.41474,40.58317,0.839962265625,0.8526376953125,0.854797119140625,PF00240,99000,False,False,69,1000,None,0.1000,INVERSE_T,0.0100,0.5000,0.9000,-86.533777175104433,-111.30856603777829,-110.01634219761957,-57.8513,-97.494,-95.8138,0.242733,0.401156,0.392398
exp68,dbm,112.95602,103.47793,102.44044,0.5088728125,0.584884033203125,0.5929130249023438,PF00240,1000,False,True,69,500,500,0.0100,NONE,0.0100,0.5000,0.9000,-225.37561849088991,-236.47947850359958,-234.90696550507903,-107.593,-114.872,-113.685,0.453429,0.487205,0.479422
exp263,rbm,5.06756,19.76201,19.48183,0.98147953125,0.9220144653320312,0.9224202880859375,PF00240,2000,True,False,69,1000,None,0.5000,INVERSE_T,0.0010,0.5000,0.9000,-58.831313275901266,-122.91488085316814,-121.08619311580321,-12.6549,-104.972,-103.146,0.0298469,0.385431,0.376852
exp170,rbm,76.77639,78.23488,77.15916,0.68394109375,0.7009420166015625,0.7070144653320313,PF00240,79000,False,False,69,100,None,0.5000,INVERSE_T,0.0100,0.5000,0.9000,,,,-85.1927,-104.154,-102.803,0.35072,0.430425,0.423964
exp236,rbm,39.49970,43.42034,42.75805,0.83553703125,0.8464058227539063,0.8490724487304687,PF00240,44000,True,False,69,1000,None,0.0100,INVERSE_T,0.0100,0.5000,0.9000,-84.832848716484364,-108.71013914101229,-107.38156648670991,-57.7765,-95.2531,-93.6887,0.23628,0.391913,0.38451
